Generation,Individual,DistanceDifference,StabilityRatio,Fitness
0,1,0.5594573734861437,0.934020618556701,0.5594573734861437
0,2,0.26346559277069387,0.843298969072165,0.26346559277069387
0,3,0.943888777289218,0.4927835051546392,0.943888777289218
0,4,2.3864201649860664,0.5731958762886598,2.3864201649860664
0,5,0.9437220904788631,0.9195876288659793,0.9437220904788631
0,6,0.8913819163853846,0.7835051546391752,0.8913819163853846
0,7,1.596822447713734,0.5587628865979382,1.596822447713734
0,8,0.9149451444928361,0.643298969072165,0.9149451444928361
0,9,1.1099334794698292,0.3917525773195876,1.1099334794698292
0,10,1.584986695857992,0.44329896907216493,1.584986695857992
0,11,0.6042178886844959,0.8268041237113402,0.6042178886844959
0,12,0.4506000264051913,0.9381443298969072,0.4506000264051913
0,13,0.28403446177230235,0.6288659793814433,0.28403446177230235
0,14,0.23234179069052846,0.9278350515463918,0.23234179069052846
0,15,0.5039442703186419,0.9587628865979382,0.5039442703186419
0,16,0.7729627884036294,0.954639175257732,0.7729627884036294
0,17,1.3123105100561387,0.7484536082474227,1.3123105100561387
0,18,0.8772474927945545,0.9298969072164949,0.8772474927945545
0,19,0.10653031023464855,0.8494845360824742,0.10653031023464855
0,20,0.1614764087380755,0.9010309278350516,0.1614764087380755
0,21,1.1742922647847398,0.3463917525773196,1.1742922647847398
0,22,0.5451232185047241,0.7958762886597938,0.5451232185047241
0,23,0.5107038985680605,0.7360824742268042,0.5107038985680605
0,24,0.35055916399245507,0.911340206185567,0.35055916399245507
0,25,0.04498887603600668,1.0,0.04498887603600668
0,26,0.1046937104635194,0.9979381443298969,0.1046937104635194
0,27,0.6060286894178682,0.9608247422680413,0.6060286894178682
0,28,0.80753544681441,0.8288659793814434,0.80753544681441
0,29,0.08453132181197057,0.9567010309278351,0.08453132181197057
0,30,1.0419327257925035,0.4762886597938144,1.0419327257925035
0,31,0.39480804961962346,0.5690721649484536,0.39480804961962346
0,32,0.4790368809389109,0.8989690721649485,0.4790368809389109
0,33,0.6234326482032059,0.5690721649484536,0.6234326482032059
0,34,0.11190935634406969,0.44329896907216493,0.11190935634406969
0,35,0.4896592477992873,0.7360824742268042,0.4896592477992873
